@id	@lon	@lat
9232368	16.3824574	48.2849614
9232371	16.3844277	48.2834074
9232372	16.3855733	48.2824778
9232373	16.3867343	48.2815395
9232374	16.3889632	48.2797109
9232375	16.3909744	48.2780680
9232376	16.3921423	48.2771182
9232377	16.3942224	48.2754565
9232378	16.3959541	48.2740664
9232380	16.3978752	48.2724891
9232394	16.4061758	48.2639175
9232395	16.4062466	48.2632075
9232396	16.4060772	48.2623021
9232397	16.4058081	48.2617267
9232398	16.4053611	48.2610871
9232404	16.4023812	48.2585170
9232407	16.4003226	48.2567301
9232410	16.4000160	48.2563544
9232412	16.3997404	48.2559800
9232413	16.3994092	48.2554615
9232414	16.3991651	48.2550150
9232416	16.3988324	48.2542110
9232417	16.3985417	48.2535029
9232419	16.3976689	48.2513174
9232420	16.3973223	48.2504551
9232421	16.3970052	48.2496598
9232422	16.3965317	48.2486799
9232423	16.3958571	48.2477383
9232424	16.3948690	48.2467794
9232425	16.3943402	48.2463637
9232426	16.3928492	48.2454762
9232427	16.3922837	48.2452169
9232429	16.3904907	48.2443870
9232431	16.3901827	48.2442378
9232437	16.3840170	48.2413041
9232438	16.3835520	48.2409729
9232487	16.3921807	48.2161865
9232488	16.3922964	48.2154997
9232491	16.3927305	48.2137392
9232492	16.3924915	48.2129205
9232494	16.3922400	48.2122362
9232495	16.3919842	48.2118718
9232496	16.3916300	48.2115651
9232498	16.3897210	48.2101948
9232500	16.3881137	48.2089282
9232502	16.3815979	48.2856609
26165450	16.0883898	48.5936353
31258693	16.3540271	48.3080786
31258694	16.3531932	48.3087771
31258695	16.3517053	48.3102195
31258696	16.3512698	48.3107284
31258700	16.3464557	48.3176001
31258701	16.3454326	48.3191106
31258715	16.3295471	48.3421045
31258829	16.3287145	48.3433291
31258831	16.3267954	48.3460875
31258832	16.3263191	48.3466835
31258833	16.3260757	48.3469711
31258834	16.3251413	48.3479495
31258835	16.3244634	48.3485807
31258836	16.3235668	48.3493254
31258858	16.2860778	48.3714854
31258941	16.2560641	48.3759549
31258952	16.2248769	48.3806732
31258964	16.2092264	48.3828642
31258965	16.2082711	48.3830072
31258966	16.2076693	48.3831099
31258970	16.2011976	48.3844583
31258971	16.2003913	48.3846661
31258972	16.1995569	48.3849410
31258973	16.1986942	48.3852964
31258974	16.1979665	48.3856598
31258975	16.1970441	48.3861963
31258976	16.1955764	48.3870817
31258977	16.1943374	48.3878238
31258978	16.1932579	48.3884728
31258979	16.1916800	48.3894160
31258980	16.1901033	48.3903720
