,lat,lon
0,48.85269470000001,16.0590172
1,48.8505672,16.055718
2,48.8505672,16.055718
3,48.8503476,16.0553782
4,48.850143599999996,16.055063399999998
5,48.849834,16.0545823
6,48.849834,16.0545823
7,48.848397600000006,16.0523932
8,48.848397600000006,16.0523932
9,48.8470186,16.050248
10,48.8470186,16.050248
11,48.8467215,16.0497884
12,48.8465809,16.0495943
13,48.8464395,16.049414600000002
14,48.8463005,16.0492666
15,48.8461662,16.0491392
16,48.8460284,16.0490219
17,48.8458935,16.0489289
18,48.845748,16.0488359
19,48.8456101,16.0487631
20,48.84546160000001,16.0486996
21,48.845316600000004,16.0486545
22,48.8451527,16.0486157
23,48.8450066,16.048594400000002
24,48.8448485,16.0485813
25,48.8446946,16.0485859
26,48.844544299999995,16.048603
27,48.844399700000004,16.048633
28,48.8442395,16.048676999999998
29,48.8440731,16.0487375
30,48.8437022,16.0488953
31,48.8437022,16.0488953
32,48.8426916,16.0493478
33,48.8423649,16.0494888
34,48.84221289999999,16.0495467
35,48.8420638,16.049596400000002
36,48.8419081,16.0496298
37,48.8417561,16.0496524
38,48.841604499999995,16.0496623
39,48.841451899999996,16.0496591
40,48.8413003,16.0496415
41,48.8411464,16.0496126
42,48.8409866,16.0495659
43,48.84082670000001,16.0495007
44,48.840621899999995,16.049399400000002
45,48.8405415,16.049349900000003
46,48.840396500000004,16.0492497
47,48.8402631,16.049143
48,48.8401524,16.0490433
49,48.840109000000005,16.048999900000002
50,48.840109000000005,16.048999900000002
51,48.8400092,16.0488961
52,48.8398993,16.048768799999998
53,48.839783700000005,16.0486275
54,48.8395802,16.0483454
55,48.839356200000005,16.0480249
56,48.839356200000005,16.0480249
57,48.8389242,16.0474223
58,48.8388482,16.0473189
59,48.8387033,16.0471726
60,48.8385766,16.0470481
61,48.8384328,16.0469271
62,48.8383027,16.0468269
63,48.838151700000004,16.0467328
64,48.837899799999995,16.0466048
65,48.837737,16.0465461
66,48.837737,16.0465461
67,48.8375598,16.0464989
68,48.8374149,16.0464721
69,48.83725379999999,16.0464593
70,48.8371339,16.0464603
71,48.8370938,16.046464999999998
72,48.83696810000001,16.0464714
73,48.83696810000001,16.0464714
74,48.8368148,16.0464956
75,48.836661,16.0465327
76,48.8365242,16.0465777
77,48.836377399999996,16.0466385
78,48.836377399999996,16.0466385
79,48.8362328,16.0467118
80,48.836100099999996,16.0467984
81,48.835964600000004,16.0468892
82,48.8358275,16.0470016
83,48.83569979999999,16.0471225
84,48.8355694,16.047258
85,48.8354083,16.047447000000002
86,48.8350152,16.047950699999998
87,48.8345922,16.048502499999998
88,48.834258,16.0489361
89,48.834143299999994,16.0490736
90,48.8340118,16.0492259
91,48.8338917,16.0493513
92,48.8337604,16.0494727
93,48.833628999999995,16.0495814
94,48.8334806,16.049685800000002
95,48.83335039999999,16.0497683
96,48.833194799999994,16.0498458
97,48.8330689,16.0498981
98,48.83290220000001,16.049953
99,48.832750700000005,16.049991000000002
100,48.8325958,16.050012300000002
101,48.832437299999995,16.050021599999997
102,48.832289200000005,16.050021599999997
103,48.8321336,16.0500026
104,48.831986900000004,16.0499741
105,48.8318292,16.0499277
106,48.8316859,16.049874900000002
107,48.8315325,16.0498031
108,48.8313963,16.049725
109,48.8312524,16.0496321
110,48.831118700000005,16.0495289
111,48.8309842,16.0494125
112,48.83085,16.0492732
113,48.8307326,16.0491454
114,48.830611299999994,16.0489902
115,48.830499100000004,16.0488276
116,48.8303934,16.048656599999997
117,48.830292,16.0484803
118,48.830204200000004,16.0483021
119,48.8301273,16.0481277
120,48.830043200000006,16.0479134
121,48.8299751,16.047713899999998
122,48.829910399999996,16.0474934
123,48.829861799999996,16.0473022
124,48.8298111,16.047059400000002
125,48.8297722,16.046844
126,48.8297359,16.0466112
127,48.8296734,16.046171700000002
128,48.8296734,16.046171700000002
129,48.829516600000005,16.044981
130,48.8294764,16.0447126
131,48.829428,16.044438
132,48.8293947,16.044280999999998
133,48.829350899999994,16.0441068
134,48.829294,16.043902
135,48.8292273,16.0436978
136,48.829157,16.0435093
137,48.8290716,16.0433077
138,48.828993,16.0431419
139,48.8289034,16.0429709
140,48.8288281,16.0428417
141,48.828672,16.0426046
142,48.8285608,16.0424599
143,48.8284354,16.0423095
144,48.828314,16.0421812
145,48.828175,16.0420561
146,48.8280527,16.0419553
147,48.8279065,16.0418549
148,48.8277674,16.0417681
149,48.827616299999995,16.0416919
150,48.82745870000001,16.0416293
151,48.8273135,16.041578599999998
152,48.8271599,16.0415445
153,48.827015,16.0415259
154,48.8268474,16.041517600000002
155,48.8266959,16.0415226
156,48.8264945,16.0415534
157,48.8263127,16.041597699999997
158,48.8263127,16.041597699999997
159,48.8261771,16.0416423
160,48.8260845,16.0416802
161,48.8259315,16.0417505
162,48.8259315,16.0417505
163,48.8257708,16.041831900000002
164,48.8245432,16.042494400000002
165,48.8228092,16.0434253
166,48.822431099999996,16.0436307
167,48.8220881,16.0438009
168,48.8218385,16.0439093
169,48.821602500000004,16.043999499999998
170,48.8213135,16.0440905
171,48.8211771,16.044130900000003
172,48.8210658,16.0441524
173,48.8207984,16.044204
174,48.8204051,16.0442549
175,48.8201555,16.0442682
176,48.8199235,16.0442712
177,48.819680700000006,16.0442563
178,48.819680700000006,16.0442563
179,48.8194541,16.0442389
180,48.8192148,16.044204
181,48.8189848,16.0441607
182,48.8187498,16.0441085
183,48.8185276,16.0440383
184,48.818293700000005,16.0439607
185,48.8180721,16.0438688
186,48.8178513,16.0437725
187,48.81764879999999,16.043668
188,48.8174571,16.0435635
